Open,Close,High,Low,Volume,Date,
89.45,88.04,90.33,87.7,4,766,11/30/2020
90.53,90.5,90.59,89.34,4,161,11/27/2020
92.15,90.13,92.24,89.27,4,657,11/26/2020
94,92.3,94.6,90.74,9,285,11/25/2020
90.96,94.05,94.76,90.96,10,642,11/24/2020
88.82,90.7,90.98,88.82,7,410,11/23/2020
89.4,88.6,89.93,88.14,3,257,11/20/2020
89.16,89.13,89.75,88.32,6,841,11/19/2020
89.6,88.65,90,87.98,3,534,11/18/2020
90.38,89.96,90.47,87.91,9,591,11/17/2020
86.42,90.14,91.18,86.42,13,322,11/16/2020
84.34,86.49,87.13,83.85,7,270,11/13/2020
85,82.52,86.29,82.52,9,545,11/12/2020
87.69,85.8,89.16,85.56,10,517,11/11/2020
81.05,87.8,88.83,81.05,26,506,11/10/2020
71.05,81.32,86.95,71.05,55,900,11/9/2020
69.85,69.87,70.96,68.86,5,792,11/6/2020
68.93,69.42,70.43,68.43,7,562,11/5/2020
65.7,67.82,68.87,65.33,10,851,11/4/2020
63.7,66.87,66.89,63.53,8,660,11/3/2020
63.15,63.38,64,62.22,3,674,11/2/2020
60.55,63.12,63.38,60.55,9,94,10/30/2020
61.22,62,63.37,59.47,15,493,10/29/2020
62.67,60.92,62.67,60.37,8,779,10/28/2020
65.45,66.19,66.19,63.13,5,216,10/27/2020
66.22,68.72,68.22,64.8,4,907,10/26/2020
65.05,67.8,68.58,64.45,11,572,10/23/2020
63.57,65.79,65.79,62.72,10,560,10/22/2020
66.79,63.92,66.85,63.92,6,963,10/21/2020
64.96,67.03,67.75,64.96,11,360,10/20/2020
64,64.75,66.43,63,11,446,10/19/2020
61.76,63.66,64.5,61.63,11,801,10/16/2020
61.87,61.83,62.66,59.97,14,3,10/15/2020
63.3,61.53,63.45,61.51,10,896,10/14/2020
64.5,63.42,64.61,63.32,8,38,10/13/2020
67.2,65.89,67.32,65.89,2,937,10/12/2020
67.05,66.34,67.78,66.33,2,971,10/9/2020
67.15,66.92,68.1,66.57,5,456,10/8/2020
66.81,66.88,67.72,66.37,2,515,10/7/2020
66.05,66.28,68.57,65.99,3,967,10/6/2020
64.93,65.68,66.57,64.34,13,226,10/5/2020
64.04,64.29,64.89,62.24,2,797,10/2/2020
63.42,64.44,64.91,62.53,9,454,10/1/2020
61.61,62.03,62.91,61.11,4,84,9/30/2020
62.8,62.12,62.99,61.39,2,768,9/29/2020
60.95,62.5,62.72,60.9,7,389,9/28/2020
60.25,60.63,61.09,57.91,7,155,9/25/2020
61.23,59.51,61.23,59.27,7,510,9/24/2020
62.94,61.28,65.04,61.17,2,288,9/23/2020
64.79,62.89,64.79,61.53,5,60,9/22/2020
68.4,64.79,68.4,64,9,995,9/21/2020
71.01,68.67,71.01,68.54,5,463,9/18/2020
69.85,70.56,71.27,69.15,4,142,9/17/2020
69.75,69.96,70.62,68.77,4,828,9/16/2020
71.15,69.14,71.4,69.14,7,274,9/15/2020
69.12,70.73,71.41,69.12,2,940,9/14/2020
69.25,68.72,69.64,67.81,4,20,9/11/2020
69.45,68.89,70.36,68.82,1,788,9/10/2020
70.31,69.5,70.31,68.09,8,438,9/9/2020
73.84,70.56,73.84,70.14,7,789,9/8/2020
70.84,73.08,73.68,70.65,3,546,9/7/2020
71.6,70.7,72.62,69.42,5,436,9/4/2020
72.4,70.66,75.05,70.31,12,857,9/3/2020
69.56,72.7,72.7,69.51,6,985,9/2/2020
69.49,69.01,69.58,67.07,6,900,9/1/2020
71.75,69.79,72.31,68.76,4,851,8/31/2020
