Open,Close,High,Low,Volume,Date
13.675,13.675,13.675,13.675,,11/30/20
13.63,13.85,13.87,13.63,,11/27/20
13.84,13.63,13.885,13.565,,11/26/20
13.55,13.84,13.84,13.55,2,090.00,11/25/20
13.75,13.675,13.75,13.58,2,573.00,11/24/20
13.88,13.51,13.88,13.49,200.00,11/23/20
14.105,13.85,14.22,13.85,,11/20/20
14.26,14.155,14.44,14.155,,11/19/20
14.68,14.495,14.68,14.475,2,000.00,11/18/20
14.305,14.69,14.69,14.305,70.00,11/17/20
14.305,14.385,14.505,14.305,1,820.00,11/16/20
14.325,14.34,14.405,14.24,,11/13/20
14.2,14.25,14.305,14.155,,11/12/20
14.215,14.415,14.415,14.215,,11/11/20
14.025,14.105,14.365,13.97,,11/10/20
13.515,13.955,13.98,13.49,,11/09/20
13.495,13.455,13.615,13.445,20.00,11/06/20
13.42,13.555,13.585,13.41,435.00,11/05/20
13.385,13.355,13.385,13.19,,11/04/20
13.445,13.32,13.695,13.32,,11/03/20
13.275,13.455,13.49,13.12,,11/02/20
13.26,13.33,13.33,13.05,250.00,10/30/20
13.555,13.335,13.585,13.275,,10/29/20
13.66,13.185,13.66,13.185,,10/28/20
13.97,13.97,13.97,13.64,,10/27/20
13.965,13.97,14.015,13.96,,10/26/20
13.675,13.89,13.89,13.675,1,000.00,10/23/20
13.83,13.685,13.83,13.635,,10/22/20
14.08,13.925,14.08,13.91,30.00,10/21/20
13.93,14.105,14.105,13.9,,10/20/20
14.065,13.985,14.16,13.95,,10/19/20
13.985,14.055,14.145,13.985,10.00,10/16/20
13.89,13.92,13.925,13.825,,10/15/20
13.835,14.015,14.115,13.835,,10/14/20
13.835,13.84,13.855,13.815,,10/13/20
13.84,13.81,13.85,13.71,,10/12/20
13.63,13.855,13.855,13.605,,10/09/20
13.635,13.56,13.635,13.43,1,831.00,10/08/20
13.515,13.465,13.61,13.465,,10/07/20
13.645,13.5,13.645,13.47,,10/06/20
13.55,13.48,13.595,13.48,250.00,10/05/20
13.51,13.5,13.615,13.485,,10/02/20
13.73,13.725,13.805,13.64,,10/01/20
13.715,13.765,13.81,13.655,,09/30/20
13.965,13.745,13.965,13.745,,09/29/20
13.795,13.915,14.01,13.795,,09/28/20
13.805,13.745,13.84,13.745,,09/25/20
13.665,13.83,13.87,13.665,2,000.00,09/24/20
13.785,13.845,13.89,13.68,200.00,09/23/20
13.455,13.685,13.685,13.35,,09/22/20
13.555,13.155,13.555,13.155,410.00,09/21/20
13.815,13.45,13.815,13.45,200.00,09/18/20
13.885,13.93,13.995,13.885,,09/17/20
13.995,14.07,14.09,13.95,,09/16/20
14.075,14.1,14.22,13.935,,09/15/20
14.68,14.685,14.725,14.655,,09/14/20
14.655,14.65,14.785,14.63,35.00,09/11/20
14.855,14.78,14.855,14.69,,09/10/20
14.24,14.77,14.775,14.24,,09/09/20
14.26,14.32,14.34,14.26,,09/08/20
14.345,14.125,14.345,14.125,,09/07/20
13.825,14.415,14.415,13.825,300.00,09/04/20
13.61,13.91,13.99,13.61,2.00,09/03/20
13.495,13.58,13.76,13.495,,09/02/20
13.585,13.5,13.585,13.465,,09/01/20
13.495,13.5,13.615,13.495,1,200.00,08/31/20
13.535,13.505,13.535,13.36,4,550.00,08/28/20
13.485,13.47,13.525,13.39,,08/27/20
13.415,13.43,13.505,13.39,2,000.00,08/26/20
13.46,13.465,13.52,13.405,,08/25/20
13.295,13.395,13.44,13.295,,08/24/20
13.21,13.295,13.295,13.145,500.00,08/21/20
13.325,13.11,13.34,13.11,,08/20/20
13.535,13.41,13.535,13.39,,08/19/20
13.6,13.535,13.67,13.535,,08/18/20
13.715,13.67,13.76,13.65,4,800.00,08/17/20
13.855,13.735,13.855,13.63,1,015.00,08/14/20
13.855,13.89,14.01,13.855,,08/13/20
13.475,14.02,14.03,13.475,,08/12/20
13.555,13.62,13.78,13.465,,08/11/20
13.49,13.395,13.505,13.395,,08/10/20
13.53,13.4,13.53,13.395,,08/07/20
13.71,13.51,13.72,13.49,165.00,08/06/20
13.73,13.605,13.895,13.605,760.00,08/05/20
13.385,13.505,13.545,13.385,,08/04/20
13.645,13.54,13.645,13.3,2,400.00,08/03/20
13.49,13.655,13.655,13.3,2,900.00,07/31/20
13.76,13.3,13.76,13.26,,07/30/20
13.565,13.71,13.845,13.565,3,418.00,07/29/20
13.12,13.585,13.745,13.12,,07/28/20
13.525,13.205,13.525,13.205,,07/27/20
13.41,13.51,13.51,13.355,,07/24/20
13.705,13.705,13.705,13.705,,07/23/20
13.685,13.74,13.74,13.685,500.00,07/22/20
13.885,13.78,13.91,13.78,,07/21/20
13.77,13.815,13.83,13.585,,07/20/20
14.055,13.9,14.055,13.845,,07/17/20
13.885,14,14,13.885,,07/16/20
14.325,13.985,14.325,13.895,,07/15/20
13.525,13.985,14.11,13.525,,07/14/20
13.63,13.66,13.725,13.565,,07/13/20
13.145,13.33,13.345,13.145,,07/10/20
13.605,13.255,13.605,13.255,10.00,07/09/20
13.58,13.64,13.7,13.575,150.00,07/08/20
13.56,13.635,13.635,13.505,,07/07/20
13.89,13.67,13.89,13.67,,07/06/20
13.855,13.685,13.855,13.63,,07/03/20
13.445,13.94,13.94,13.445,150.00,07/02/20
13.765,13.605,13.765,13.455,210.00,07/01/20
13.9,13.905,13.91,13.765,,06/30/20
13.835,13.87,13.875,13.765,,06/29/20
14.385,14.165,14.385,14.165,,06/26/20
14.235,14.025,14.265,14.025,,06/25/20
14.505,14.46,14.725,14.46,,06/24/20
14.605,14.735,14.77,14.52,,06/23/20
14,14.48,14.685,14,500.00,06/22/20
13.9,13.995,14.04,13.9,,06/19/20
14.17,13.965,14.235,13.965,,06/18/20
14.15,14.31,14.4,14.15,,06/17/20
14.25,14.245,14.34,14.19,,06/16/20
13.485,13.95,13.95,13.485,200.00,06/15/20
13.7,14.16,14.22,13.7,28.00,06/12/20
14.22,13.99,14.22,13.99,125.00,06/11/20
14.47,14.41,14.62,14.41,,06/10/20
14.7,14.44,14.7,14.3,500.00,06/09/20
14.605,14.425,14.605,14.425,,06/08/20
14.36425,14.42333,14.63008,14.36425,356.00,06/05/20
14.31011,14.10828,14.31011,14.07874,,06/04/20
13.78831,14.3741,14.3741,13.78831,3,555.00,06/03/20
13.68985,13.71447,13.71447,13.6357,,06/02/20
12.99576,13.3305,13.4388,12.99576,203.00,05/29/20
13.27143,13.13852,13.38465,13.13852,,05/28/20
12.94654,13.13852,13.13852,12.69056,,05/27/20
